               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,             0.01789,           0.0074227,           0.0060954,             0.99874,             0.99998,             0.99499,             0.95305,            0.011521,            0.003736,           0.0039642,            0.004126,            0.004126,            0.004126
                  91,            0.018248,           0.0075477,            0.006248,             0.99874,             0.99998,             0.99499,             0.95311,            0.011507,           0.0037308,           0.0039522,             0.00406,             0.00406,             0.00406
                  92,            0.017748,           0.0074161,           0.0061893,             0.99874,             0.99998,             0.99499,             0.95336,             0.01149,           0.0037227,           0.0039396,            0.003994,            0.003994,            0.003994
                  93,            0.017662,           0.0074025,           0.0060056,             0.99875,             0.99998,             0.99499,             0.95352,            0.011468,           0.0037142,           0.0039278,            0.003928,            0.003928,            0.003928
                  94,            0.017623,           0.0073987,           0.0059445,             0.99875,             0.99997,             0.99499,             0.95384,            0.011455,           0.0037049,           0.0039146,            0.003862,            0.003862,            0.003862
                  95,            0.017468,           0.0072523,           0.0057562,             0.99875,             0.99997,             0.99499,             0.95409,            0.011437,           0.0036964,           0.0039031,            0.003796,            0.003796,            0.003796
                  96,            0.017597,           0.0073065,           0.0059111,             0.99877,             0.99997,             0.99499,             0.95458,            0.011427,           0.0036883,           0.0038919,             0.00373,             0.00373,             0.00373
                  97,            0.017444,           0.0072865,             0.00578,             0.99876,             0.99997,             0.99499,             0.95468,            0.011423,            0.003677,           0.0038794,            0.003664,            0.003664,            0.003664
                  98,            0.017356,           0.0072676,           0.0059103,             0.99876,             0.99997,             0.99499,             0.95503,            0.011411,            0.003671,           0.0038661,            0.003598,            0.003598,            0.003598
                  99,             0.01717,           0.0071791,           0.0059103,             0.99878,             0.99997,             0.99499,             0.95546,            0.011387,           0.0036589,           0.0038516,            0.003532,            0.003532,            0.003532
                 100,            0.017266,           0.0072412,           0.0056739,             0.99878,             0.99997,             0.99499,             0.95545,            0.011362,           0.0036545,           0.0038393,            0.003466,            0.003466,            0.003466
                 101,            0.017175,           0.0072737,           0.0058767,             0.99878,             0.99997,               0.995,              0.9559,            0.011349,           0.0036479,           0.0038258,              0.0034,              0.0034,              0.0034
                 102,            0.016904,           0.0071071,           0.0056155,              0.9988,             0.99997,               0.995,             0.95598,            0.011344,           0.0036381,           0.0038129,            0.003334,            0.003334,            0.003334
                 103,            0.016901,           0.0071657,           0.0056342,              0.9988,             0.99997,               0.995,             0.95661,            0.011329,           0.0036298,           0.0037999,            0.003268,            0.003268,            0.003268
                 104,            0.016848,           0.0069632,           0.0055135,              0.9988,             0.99997,               0.995,              0.9571,            0.011317,           0.0036206,           0.0037875,            0.003202,            0.003202,            0.003202
                 105,            0.016768,           0.0070221,           0.0054525,             0.99882,             0.99997,               0.995,             0.95744,            0.011292,           0.0036148,           0.0037743,            0.003136,            0.003136,            0.003136
                 106,            0.016692,           0.0069983,           0.0054579,             0.99882,             0.99997,               0.995,             0.95777,            0.011283,           0.0036044,            0.003762,             0.00307,             0.00307,             0.00307
                 107,             0.01669,           0.0070786,           0.0057582,             0.99881,             0.99997,               0.995,             0.95805,            0.011265,           0.0035992,           0.0037493,            0.003004,            0.003004,            0.003004
                 108,             0.01675,           0.0072774,           0.0060557,             0.99883,             0.99997,               0.995,             0.95853,            0.011251,           0.0035931,            0.003735,            0.002938,            0.002938,            0.002938
                 109,            0.016361,           0.0070225,            0.005481,             0.99883,             0.99997,               0.995,             0.95837,            0.011236,           0.0035844,           0.0037215,            0.002872,            0.002872,            0.002872
                 110,            0.016217,           0.0069285,           0.0052485,             0.99884,             0.99997,               0.995,             0.95826,            0.011215,           0.0035755,           0.0037078,            0.002806,            0.002806,            0.002806
                 111,            0.016333,           0.0069308,            0.005307,             0.99886,             0.99997,             0.99499,             0.95851,            0.011189,           0.0035701,           0.0036941,             0.00274,             0.00274,             0.00274
                 112,            0.016161,           0.0069352,           0.0054934,             0.99885,             0.99997,             0.99499,             0.95879,            0.011167,           0.0035628,           0.0036793,            0.002674,            0.002674,            0.002674
                 113,            0.015972,             0.00688,           0.0052534,             0.99885,             0.99997,             0.99499,             0.95898,            0.011155,           0.0035525,           0.0036643,            0.002608,            0.002608,            0.002608
                 114,            0.015896,           0.0068138,            0.005218,             0.99887,             0.99997,             0.99499,             0.95905,            0.011146,            0.003545,           0.0036496,            0.002542,            0.002542,            0.002542
                 115,            0.016031,           0.0067839,           0.0051114,             0.99887,             0.99997,             0.99499,             0.95941,            0.011134,           0.0035379,           0.0036366,            0.002476,            0.002476,            0.002476
                 116,            0.015587,            0.006714,           0.0050485,             0.99888,             0.99995,             0.99499,             0.95957,             0.01112,           0.0035312,           0.0036231,             0.00241,             0.00241,             0.00241
                 117,            0.015656,           0.0067609,           0.0049821,             0.99888,             0.99995,             0.99499,             0.95973,            0.011106,           0.0035208,           0.0036088,            0.002344,            0.002344,            0.002344
                 118,            0.015573,           0.0067073,           0.0049777,             0.99887,             0.99994,             0.99499,             0.95997,            0.011102,           0.0035124,           0.0035948,            0.002278,            0.002278,            0.002278
                 119,            0.015535,           0.0066445,           0.0049639,             0.99886,             0.99993,             0.99499,             0.95991,            0.011099,           0.0035065,           0.0035803,            0.002212,            0.002212,            0.002212
                 120,            0.015236,           0.0065324,           0.0048365,             0.99888,             0.99993,             0.99499,             0.96021,            0.011093,           0.0034966,           0.0035654,            0.002146,            0.002146,            0.002146
                 121,            0.015165,           0.0065142,           0.0047329,             0.99889,             0.99992,             0.99499,             0.96028,            0.011084,           0.0034851,           0.0035504,             0.00208,             0.00208,             0.00208
                 122,            0.014988,           0.0064792,           0.0046804,             0.99887,             0.99992,               0.995,             0.96066,            0.011065,           0.0034768,           0.0035345,            0.002014,            0.002014,            0.002014
                 123,            0.014818,           0.0064421,           0.0046814,             0.99888,             0.99991,               0.995,             0.96077,            0.011046,           0.0034719,           0.0035197,            0.001948,            0.001948,            0.001948
                 124,            0.014862,           0.0064036,           0.0047099,             0.99887,             0.99991,               0.995,             0.96122,            0.011027,           0.0034612,           0.0035037,            0.001882,            0.001882,            0.001882
                 125,            0.014715,           0.0064365,           0.0045899,             0.99888,             0.99991,               0.995,              0.9614,            0.011016,           0.0034548,           0.0034873,            0.001816,            0.001816,            0.001816
                 126,             0.01465,           0.0063975,           0.0045957,             0.99888,             0.99992,               0.995,             0.96178,            0.011016,           0.0034461,           0.0034704,             0.00175,             0.00175,             0.00175
                 127,            0.014524,           0.0063408,           0.0045151,             0.99889,             0.99992,               0.995,             0.96167,            0.011003,           0.0034404,           0.0034537,            0.001684,            0.001684,            0.001684
                 128,              0.0145,           0.0064208,           0.0045165,             0.99889,             0.99992,               0.995,             0.96176,            0.010985,           0.0034291,           0.0034369,            0.001618,            0.001618,            0.001618
                 129,            0.014356,           0.0062966,           0.0044878,             0.99889,             0.99993,               0.995,             0.96211,            0.010975,           0.0034209,           0.0034197,            0.001552,            0.001552,            0.001552
                 130,            0.014124,           0.0061959,            0.004411,              0.9989,             0.99993,               0.995,              0.9621,            0.010962,           0.0034132,           0.0034019,            0.001486,            0.001486,            0.001486
